K/- [0.00, 0.67, 0.32, 0.00, 0.00]
J/- [0.00, 0.19, 0.80, 0.00, 0.00]
Q/- [0.00, 0.74, 0.26, 0.00, 0.00]
Q/-B [0.56, 0.00, 0.00, 0.42, 0.01]
Q/-c [0.00, 0.48, 0.52, 0.00, 0.00]
K/-B [0.36, 0.00, 0.00, 0.64, 0.00]
K/-c [0.00, 0.76, 0.23, 0.00, 0.00]
J/-B [0.63, 0.00, 0.00, 0.12, 0.24]
J/-c [0.00, 0.23, 0.76, 0.00, 0.00]
K/-B/R [0.07, 0.00, 0.00, 0.93, 0.00]
K/-c/B [0.50, 0.00, 0.00, 0.50, 0.00]
J/-B/R [0.20, 0.00, 0.00, 0.79, 0.01]
J/-c/B [0.57, 0.00, 0.00, 0.02, 0.41]
Q/-B/R [0.03, 0.00, 0.00, 0.96, 0.01]
Q/-c/B [0.72, 0.00, 0.00, 0.27, 0.01]
K/J-B/C [0.00, 0.21, 0.79, 0.00, 0.00]
K/J-c/c [0.00, 0.05, 0.95, 0.00, 0.00]
K/Q-B/C [0.00, 0.14, 0.85, 0.00, 0.00]
K/Q-c/c [0.00, 0.04, 0.96, 0.00, 0.00]
J/K-B/C [0.19, 0.22, 0.19, 0.19, 0.19]
J/K-c/c [0.02, 0.02, 0.93, 0.02, 0.02]
J/Q-B/C [0.00, 0.66, 0.33, 0.00, 0.00]
J/Q-c/c [0.00, 0.12, 0.88, 0.00, 0.00]
Q/Q-B/C [0.00, 0.44, 0.55, 0.00, 0.00]
Q/Q-c/c [0.01, 0.72, 0.25, 0.01, 0.01]
K/K-B/C [0.00, 0.70, 0.29, 0.00, 0.00]
K/K-c/c [0.01, 0.62, 0.36, 0.01, 0.01]
J/J-B/C [0.00, 0.68, 0.31, 0.00, 0.00]
J/J-c/c [0.00, 0.27, 0.72, 0.00, 0.00]
Q/K-B/C [0.00, 0.44, 0.55, 0.00, 0.00]
Q/K-c/c [0.00, 0.22, 0.76, 0.00, 0.00]
Q/J-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
Q/J-c/c [0.03, 0.18, 0.74, 0.03, 0.03]
Q/-B/R/R [0.99, 0.00, 0.00, 0.00, 0.00]
Q/-c/B/R [0.20, 0.00, 0.00, 0.80, 0.00]
K/-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
K/-c/B/R [0.00, 0.00, 0.00, 1.00, 0.00]
J/-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
J/-c/B/R [0.51, 0.00, 0.00, 0.49, 0.00]
Q/J-B/C/B [0.00, 0.00, 0.00, 0.36, 0.64]
Q/J-B/C/c [0.00, 0.23, 0.76, 0.00, 0.00]
Q/J-B/R/C [0.01, 0.01, 0.95, 0.01, 0.01]
Q/J-c/B/C [0.20, 0.20, 0.20, 0.20, 0.20]
Q/J-c/c/B [0.00, 0.00, 0.00, 0.01, 0.99]
Q/J-c/c/c [0.00, 0.14, 0.86, 0.00, 0.00]
K/J-B/C/B [0.49, 0.00, 0.00, 0.50, 0.00]
K/J-B/C/c [0.00, 0.52, 0.47, 0.00, 0.00]
K/J-B/R/C [0.00, 0.31, 0.69, 0.00, 0.00]
K/J-c/B/C [0.01, 0.39, 0.58, 0.01, 0.01]
K/J-c/c/B [0.13, 0.00, 0.00, 0.27, 0.60]
K/J-c/c/c [0.00, 0.63, 0.37, 0.00, 0.00]
J/J-B/C/B [0.03, 0.00, 0.00, 0.97, 0.00]
J/J-B/C/c [0.00, 1.00, 0.00, 0.00, 0.00]
J/J-B/R/C [0.00, 0.00, 0.99, 0.00, 0.00]
J/J-c/B/C [0.01, 0.95, 0.01, 0.01, 0.01]
J/J-c/c/B [0.19, 0.00, 0.00, 0.80, 0.00]
J/J-c/c/c [0.00, 0.99, 0.00, 0.00, 0.00]
K/Q-B/C/B [0.22, 0.00, 0.00, 0.21, 0.56]
K/Q-B/C/c [0.00, 0.24, 0.75, 0.00, 0.00]
K/Q-B/R/C [0.06, 0.75, 0.07, 0.06, 0.06]
K/Q-c/B/C [0.01, 0.09, 0.87, 0.01, 0.01]
K/Q-c/c/B [0.33, 0.00, 0.00, 0.03, 0.64]
K/Q-c/c/c [0.00, 0.09, 0.90, 0.00, 0.00]
K/K-B/C/B [0.03, 0.01, 0.01, 0.95, 0.01]
K/K-B/C/c [0.01, 0.95, 0.03, 0.01, 0.01]
K/K-B/R/C [0.00, 0.14, 0.86, 0.00, 0.00]
K/K-c/B/C [0.00, 0.98, 0.02, 0.00, 0.00]
K/K-c/c/B [0.02, 0.00, 0.00, 0.98, 0.00]
K/K-c/c/c [0.00, 0.98, 0.01, 0.00, 0.00]
J/Q-B/C/B [0.01, 0.00, 0.00, 0.06, 0.93]
