Q/- [0.00, 1.00, 0.00, 0.00, 0.00]
K/- [0.00, 1.00, 0.00, 0.00, 0.00]
J/- [0.00, 1.00, 0.00, 0.00, 0.00]
K/-B [1.00, 0.00, 0.00, 0.00, 0.00]
K/-c [0.00, 0.98, 0.02, 0.00, 0.00]
Q/-B [1.00, 0.00, 0.00, 0.00, 0.00]
Q/-c [0.00, 0.93, 0.07, 0.00, 0.00]
J/-B [1.00, 0.00, 0.00, 0.00, 0.00]
J/-c [0.00, 0.95, 0.05, 0.00, 0.00]
Q/-B/R [0.00, 0.00, 0.00, 1.00, 0.00]
Q/-c/B [0.76, 0.00, 0.00, 0.24, 0.00]
K/-B/R [0.00, 0.00, 0.00, 1.00, 0.00]
K/-c/B [0.66, 0.00, 0.00, 0.34, 0.00]
J/-B/R [0.00, 0.00, 0.00, 1.00, 0.00]
J/-c/B [0.88, 0.00, 0.00, 0.12, 0.00]
Q/J-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
Q/J-c/c [0.04, 0.04, 0.84, 0.04, 0.04]
K/J-B/C [0.00, 0.00, 1.00, 0.00, 0.00]
K/J-c/c [0.00, 0.04, 0.96, 0.00, 0.00]
Q/K-B/C [0.00, 0.00, 1.00, 0.00, 0.00]
Q/K-c/c [0.00, 0.09, 0.91, 0.00, 0.00]
K/Q-B/C [0.00, 0.34, 0.66, 0.00, 0.00]
K/Q-c/c [0.00, 0.02, 0.98, 0.00, 0.00]
J/Q-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/Q-c/c [0.02, 0.02, 0.92, 0.02, 0.02]
K/K-B/C [0.00, 0.67, 0.33, 0.00, 0.00]
K/K-c/c [0.00, 0.90, 0.10, 0.00, 0.00]
J/J-B/C [0.00, 0.67, 0.33, 0.00, 0.00]
J/J-c/c [0.01, 0.47, 0.48, 0.01, 0.01]
J/K-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/K-c/c [0.00, 0.25, 0.75, 0.00, 0.00]
Q/Q-B/C [0.00, 0.94, 0.06, 0.00, 0.00]
Q/Q-c/c [0.00, 0.13, 0.86, 0.00, 0.00]
