J//n- [0.00, 0.36, 0.64, 0.00, 0.00]
A//n- [0.00, 0.78, 0.22, 0.00, 0.00]
K//n- [0.00, 0.64, 0.36, 0.00, 0.00]
Q//n- [0.00, 0.61, 0.39, 0.00, 0.00]
T//n- [0.00, 0.36, 0.64, 0.00, 0.00]
T//n-B [0.02, 0.00, 0.00, 0.06, 0.92]
T//n-c [0.00, 0.30, 0.70, 0.00, 0.00]
A//n-B [0.32, 0.00, 0.00, 0.68, 0.00]
A//n-c [0.00, 0.74, 0.26, 0.00, 0.00]
Q//n-B [0.32, 0.00, 0.00, 0.67, 0.00]
Q//n-c [0.00, 0.42, 0.58, 0.00, 0.00]
J//n-B [0.31, 0.00, 0.00, 0.13, 0.56]
J//n-c [0.00, 0.34, 0.66, 0.00, 0.00]
K//n-B [0.38, 0.00, 0.00, 0.60, 0.02]
K//n-c [0.00, 0.75, 0.25, 0.00, 0.00]
J//n-B/R [0.08, 0.00, 0.00, 0.92, 0.00]
J//n-c/B [0.23, 0.00, 0.00, 0.15, 0.62]
A//n-B/R [0.05, 0.00, 0.00, 0.95, 0.00]
A//n-c/B [0.35, 0.00, 0.00, 0.65, 0.00]
K//n-B/R [0.06, 0.00, 0.00, 0.94, 0.00]
K//n-c/B [0.45, 0.00, 0.00, 0.55, 0.00]
Q//n-B/R [0.05, 0.00, 0.00, 0.95, 0.00]
Q//n-c/B [0.43, 0.00, 0.00, 0.57, 0.00]
T//n-B/R [0.05, 0.00, 0.00, 0.95, 0.00]
T//n-c/B [0.03, 0.00, 0.00, 0.04, 0.93]
J/A/n-B/C [0.00, 0.30, 0.70, 0.00, 0.00]
J/A/n-c/c [0.00, 0.07, 0.93, 0.00, 0.00]
A/K/d-B/C [0.00, 0.96, 0.04, 0.00, 0.00]
A/K/d-c/c [0.00, 0.53, 0.46, 0.00, 0.00]
A/K/n-B/C [0.00, 0.38, 0.62, 0.00, 0.00]
A/K/n-c/c [0.00, 0.53, 0.47, 0.00, 0.00]
K/T/n-B/C [0.00, 0.73, 0.26, 0.00, 0.00]
K/T/n-c/c [0.01, 0.84, 0.14, 0.01, 0.01]
A/Q/d-B/C [0.01, 0.60, 0.38, 0.01, 0.01]
A/Q/d-c/c [0.00, 1.00, 0.00, 0.00, 0.00]
K/K/n-B/C [0.00, 0.64, 0.36, 0.00, 0.00]
K/K/n-c/c [0.00, 0.06, 0.93, 0.00, 0.00]
Q/T/n-B/C [0.00, 0.81, 0.19, 0.00, 0.00]
Q/T/n-c/c [0.00, 0.75, 0.25, 0.00, 0.00]
T/T/n-B/C [0.00, 0.85, 0.15, 0.00, 0.00]
T/T/n-c/c [0.00, 0.82, 0.18, 0.00, 0.00]
K/A/n-B/C [0.00, 0.43, 0.57, 0.00, 0.00]
K/A/n-c/c [0.00, 0.16, 0.84, 0.00, 0.00]
T/A/n-B/C [0.00, 0.47, 0.52, 0.00, 0.00]
T/A/n-c/c [0.00, 0.12, 0.88, 0.00, 0.00]
Q/Q/n-B/C [0.00, 0.92, 0.08, 0.00, 0.00]
Q/Q/n-c/c [0.00, 0.32, 0.68, 0.00, 0.00]
K/J/d-B/C [0.00, 0.84, 0.16, 0.00, 0.00]
K/J/d-c/c [0.01, 0.08, 0.89, 0.01, 0.01]
Q/J/n-B/C [0.00, 0.79, 0.20, 0.00, 0.00]
Q/J/n-c/c [0.00, 0.87, 0.13, 0.00, 0.00]
J/Q/n-B/C [0.00, 0.81, 0.18, 0.00, 0.00]
J/Q/n-c/c [0.00, 0.82, 0.18, 0.00, 0.00]
A/J/n-B/C [0.00, 0.96, 0.03, 0.00, 0.00]
A/J/n-c/c [0.00, 0.78, 0.22, 0.00, 0.00]
J/T/n-B/C [0.00, 0.91, 0.09, 0.00, 0.00]
J/T/n-c/c [0.00, 0.96, 0.04, 0.00, 0.00]
T/Q/n-B/C [0.00, 0.17, 0.82, 0.00, 0.00]
T/Q/n-c/c [0.00, 0.42, 0.57, 0.00, 0.00]
Q/A/n-B/C [0.00, 0.50, 0.50, 0.00, 0.00]
Q/A/n-c/c [0.00, 0.33, 0.67, 0.00, 0.00]
K/T/d-B/C [0.01, 0.17, 0.81, 0.01, 0.01]
K/T/d-c/c [0.00, 0.36, 0.63, 0.00, 0.00]
K/Q/n-B/C [0.00, 1.00, 0.00, 0.00, 0.00]
K/Q/n-c/c [0.00, 0.77, 0.22, 0.00, 0.00]
Q/K/n-B/C [0.00, 0.80, 0.19, 0.00, 0.00]
Q/K/n-c/c [0.00, 0.21, 0.79, 0.00, 0.00]
T/K/n-B/C [0.00, 0.48, 0.52, 0.00, 0.00]
T/K/n-c/c [0.00, 0.10, 0.89, 0.00, 0.00]
T/J/n-B/C [0.00, 0.33, 0.66, 0.00, 0.00]
T/J/n-c/c [0.00, 0.34, 0.66, 0.00, 0.00]
A/A/n-B/C [0.00, 0.61, 0.39, 0.00, 0.00]
A/A/n-c/c [0.00, 0.41, 0.59, 0.00, 0.00]
Q/K/d-B/C [0.00, 0.94, 0.06, 0.00, 0.00]
Q/K/d-c/c [0.00, 0.43, 0.57, 0.00, 0.00]
J/K/n-B/C [0.01, 0.22, 0.74, 0.01, 0.01]
J/K/n-c/c [0.00, 0.12, 0.88, 0.00, 0.00]
J/A/d-B/C [0.20, 0.20, 0.20, 0.20, 0.20]
J/A/d-c/c [0.00, 0.72, 0.28, 0.00, 0.00]
A/T/d-B/C [0.00, 0.99, 0.00, 0.00, 0.00]
A/T/d-c/c [0.00, 0.93, 0.07, 0.00, 0.00]
Q/J/d-B/C [0.01, 0.59, 0.39, 0.01, 0.01]
Q/J/d-c/c [0.00, 0.81, 0.19, 0.00, 0.00]
J/K/d-B/C [0.01, 0.50, 0.45, 0.01, 0.01]
J/K/d-c/c [0.00, 0.12, 0.88, 0.00, 0.00]
T/A/d-B/C [0.01, 0.84, 0.11, 0.01, 0.01]
T/A/d-c/c [0.00, 0.01, 0.99, 0.00, 0.00]
A/Q/n-B/C [0.00, 0.95, 0.05, 0.00, 0.00]
